zcr,energy,energy_entropy,spectral_centroid,spectral_spread,spectral_entropy,spectral_flux,spectral_rolloff,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,chroma_std,Gender
0.225004707,0.005799581,2.759954376,0.293434668,0.236004469,1.235942789,0.00654511,0.334446903,-29.40697762,1.580460647,-0.635068092,-0.376825878,-0.214840011,0.162817159,-0.256755087,-0.128642731,-0.037843332,-0.108097546,-0.131851356,-0.183083896,-0.393594985,0.029296466,0.005412666,0.017313105,0.01395601,0.00792209,0.008197805,0.011546899,0.007446098,0.005941085,0.007736189,0.024509153,0.025863761,0.019578657,female
0.174400693,0.030187928,2.950425727,0.251227888,0.218294551,1.033548754,0.006147566,0.262339744,-26.45800142,1.679229342,-0.840004412,-0.437292812,-0.193427751,0.089996124,-0.126561194,-0.051044171,-0.025458656,-0.040357448,-0.177764676,-0.168604721,-0.413211394,0.042967618,0.015722208,0.012315285,0.004444186,0.006229996,0.015914508,0.022803107,0.011460875,0.003340067,0.007218957,0.033061909,0.010018208,0.025455463,female
0.238218565,0.01727276,2.72025524,0.300662116,0.229619961,1.335262341,0.006909341,0.339207921,-27.85029148,1.415996089,-0.756015451,-0.297822027,-0.129416027,0.090186096,-0.156044496,-0.159538926,-0.036039938,-0.126875556,-0.189984501,-0.161812895,-0.374565496,0.030384168,0.006051044,0.017672609,0.00909478,0.004830212,0.013926888,0.016355934,0.008303817,0.007062043,0.004937144,0.022924952,0.016224561,0.018859907,female
0.232239841,0.012666809,2.692099206,0.309572406,0.237188767,1.375439727,0.007072958,0.379977064,-28.11925013,1.530892345,-0.376530209,-0.328194038,-0.298402261,-0.009591215,-0.187578511,0.009086217,-0.104990504,-0.014745339,-0.218198355,-0.221494189,-0.272093681,0.041108593,0.008127824,0.016645208,0.012318027,0.006619266,0.005795579,0.006885935,0.003086414,0.003319238,0.015724503,0.021483243,0.015838214,0.020386635,female
0.237623762,0.021711471,2.696276353,0.295760197,0.23474136,1.244306833,0.007116393,0.348094059,-27.44877985,1.660835474,-0.678388376,-0.449441096,-0.251013879,0.023455166,-0.154779739,-0.143578188,-0.068820164,-0.063902039,-0.176064862,-0.136922856,-0.33209017,0.037064424,0.011419114,0.020367044,0.008327671,0.006790594,0.013486188,0.008948924,0.004937042,0.0039053,0.008605914,0.020437735,0.014537615,0.019556049,female
0.202731738,0.014026315,2.850380023,0.283655636,0.207482155,1.309156234,0.007181059,0.314523121,-27.8723793,1.044937979,-0.890555775,-0.430868338,0.015047049,-0.144091451,-0.221940766,-0.046349118,-0.06757513,-0.087463895,-0.137047272,-0.178502745,-0.319831658,0.027498737,0.014744021,0.014793628,0.006290375,0.005407357,0.008146804,0.012765812,0.006727761,0.007211603,0.00840568,0.014589425,0.016451058,0.018682936,female
0.194447605,0.0043831,2.703408385,0.274190614,0.211780084,1.50246754,0.005127064,0.330103306,-28.65250917,0.879053513,-0.914353542,-0.203510679,0.018031767,0.0129209,-0.245395351,-0.100710672,-0.025636818,-0.164176306,-0.037451556,-0.176433603,-0.225300495,0.019238544,0.009897785,0.015737958,0.008310947,0.008972321,0.011574387,0.015489714,0.01143153,0.006479171,0.01032163,0.022963945,0.013002183,0.018410713,female
0.231822584,0.008711428,2.757530419,0.316353723,0.233376333,1.549166123,0.005897135,0.392771493,-28.75079817,1.096940379,-0.684155424,-0.398081151,-0.040501592,-0.075820772,-0.293254587,-0.106588812,-0.138367628,-0.205279461,-0.077332889,-0.163538063,-0.202578013,0.023297617,0.010690874,0.023302193,0.011638986,0.008200287,0.011816935,0.011536032,0.00786405,0.007087825,0.007682485,0.014672947,0.007712264,0.016767315,female
0.272962562,0.018046971,2.856800963,0.355151289,0.231495548,1.53496578,0.00559733,0.459805825,-27.73635081,0.87287486,-0.619670847,-0.572515003,0.06169855,0.059445258,-0.154315677,-0.109053384,-0.153947129,-0.108232759,-0.1112132,-0.21318361,-0.286272035,0.018084379,0.004991941,0.012137983,0.005447633,0.013456103,0.005168314,0.012976299,0.00897365,0.007759477,0.010539851,0.01732222,0.009732021,0.015942661,female
0.248798803,0.007658341,2.675641375,0.328352442,0.21982692,1.691934685,0.005222142,0.417890244,-28.35706015,0.731971548,-0.644918193,-0.272073945,-0.079867451,0.042798353,-0.264625101,-0.06462701,-0.127905767,-0.213921947,-0.138287042,-0.190275558,-0.253679476,0.01881394,0.006950977,0.020314382,0.012747159,0.008556447,0.008269967,0.011148196,0.007180961,0.005479993,0.006828198,0.01344176,0.009027655,0.014448336,female
0.259123409,0.00639918,2.580504016,0.332497896,0.226676643,1.556096381,0.005656374,0.410544554,-28.87848191,0.780169003,-0.84852138,-0.281207408,-0.109410933,-0.074694233,-0.123742528,-0.114412063,-0.021389206,-0.241107104,-0.081981949,-0.165936484,-0.191485095,0.012210068,0.009297206,0.015241909,0.010637649,0.00746474,0.012763253,0.010010546,0.005783026,0.012510198,0.00692239,0.011194235,0.007328343,0.012299648,female
0.202722411,0.015248624,2.818607903,0.296212565,0.218818728,1.358981497,0.006858387,0.364194215,-28.04782105,1.142557509,-0.607571226,-0.482187938,0.049881137,-0.170721325,-0.143397098,-0.024879745,-0.15407103,-0.11378751,-0.12255673,-0.120762162,-0.18298779,0.018965362,0.007603002,0.015997697,0.011560793,0.009448415,0.015446337,0.009323221,0.003515311,0.008133919,0.008112581,0.022141458,0.007748061,0.016790283,female
0.190944788,0.009727194,2.769179735,0.270823718,0.214030049,1.352356028,0.006712486,0.313587786,-27.91370838,0.959435855,-0.875720481,-0.039885013,-0.165433587,-0.075422104,-0.221730158,-0.102890739,-0.045994799,-0.199945984,-0.131818896,-0.233898862,-0.332038456,0.022767174,0.014306272,0.02140895,0.011625055,0.008748583,0.007704521,0.01269887,0.007698592,0.007617265,0.008166176,0.016433919,0.010059713,0.017062391,female
0.217064434,0.011485196,2.617515861,0.31851477,0.222192287,1.591770046,0.006262508,0.392413793,-28.04215765,0.766690047,-0.542282335,-0.422895256,0.17754407,-0.06433352,-0.249963427,-0.150791204,-0.176819355,-0.160487549,-0.150058671,-0.143139795,-0.144813334,0.017038789,0.003993906,0.012478256,0.010251535,0.008830731,0.008872769,0.016345623,0.00635179,0.006404942,0.012482344,0.02000156,0.012335887,0.014963056,female
0.260036584,0.006915787,2.641936469,0.338729198,0.221984387,1.712060587,0.005224443,0.4475,-28.99979775,0.710714425,-0.876252781,-0.280955781,-0.169885107,-0.004997289,-0.25050364,-0.099673905,-0.098252151,-0.191967286,-0.088659483,-0.177621408,-0.137595303,0.01392702,0.00792092,0.013057091,0.007573902,0.008128184,0.007659297,0.012823722,0.005338087,0.007000771,0.008287617,0.014424073,0.010926742,0.012206168,female
0.187034975,0.013285186,2.899925622,0.276649155,0.2103205,1.193541899,0.007236808,0.288011811,-27.09685991,1.243567867,-0.394989851,-0.478821,-0.067020664,-0.056001204,-0.200499199,-0.033937795,-0.083258571,-0.232537469,-0.303322141,-0.345526039,-0.397686706,0.028090178,0.012681111,0.035779618,0.019260562,0.007900575,0.004851671,0.013300878,0.005933662,0.005340574,0.006484315,0.009738113,0.015600139,0.022229612,female
0.159592013,0.010594256,2.811425187,0.253975164,0.229790005,1.181368429,0.005878973,0.235911215,-27.14220878,1.514307108,-0.691359808,-0.284327585,0.069157182,0.049511116,-0.238309224,-0.219660971,-0.191800534,-0.362638111,-0.287900262,-0.382962436,-0.320548899,0.017419224,0.009887638,0.030100514,0.020811264,0.023575974,0.013062513,0.011609449,0.011056764,0.012209212,0.006657819,0.016278067,0.00498969,0.02175415,female
0.259581903,0.015612752,2.837235337,0.328469273,0.23051648,1.491837131,0.008227177,0.402227723,-27.39773393,1.27774822,-0.409510771,-0.319281631,0.112729853,-0.187127928,-0.018619703,-0.186635968,-0.136852967,-0.337353555,-0.211305302,-0.391053846,-0.214046076,0.023890008,0.012977899,0.028540303,0.015260157,0.020183375,0.005717173,0.00790291,0.008300518,0.006855216,0.002906683,0.009929952,0.003886958,0.020103196,female
0.177596996,0.010289554,2.884626928,0.271448651,0.222816472,1.199359952,0.007266705,0.291946429,-27.53672955,1.645071225,-0.208201507,-0.328192907,-0.04967461,-0.097253041,-0.083512568,-0.086995774,-0.080679647,-0.26627188,-0.253308895,-0.306590109,-0.303900116,0.028699323,0.008044671,0.028503889,0.029239943,0.017212701,0.008340104,0.01286259,0.009178822,0.004055842,0.004018876,0.016312477,0.011547675,0.024102094,female
